bias,bb,atr_max,ses,rr,trades,wr,net,pf,dd,tpd,losing_months,worst_month,max_consec_loss,n_months
ribbon_only_15M,"BB(30,1.5)",none,all,1.500,2100,43.143,91.500,1.009,789.805,4.078,7,-294.810,13,18
ribbon_only_15M,"BB(30,1.5)",none,all,2.000,1974,38.399,289.770,1.029,1009.660,3.833,7,-407.010,16,18
ribbon_only_15M,"BB(30,1.5)",none,all,3.000,1867,33.262,-127.400,0.987,1154.080,3.626,8,-467.980,21,18
ribbon_only_15M,"BB(30,1.5)",none,hot8,1.500,1061,44.015,325.665,1.065,408.730,2.061,7,-193.900,11,18
ribbon_only_15M,"BB(30,1.5)",none,hot8,2.000,1003,37.886,190.210,1.037,579.860,1.948,6,-232.350,11,18
ribbon_only_15M,"BB(30,1.5)",none,hot8,3.000,961,32.466,67.440,1.013,642.580,1.867,5,-269.130,16,18
ribbon_only_15M,"BB(30,1.5)",none,L+NY,1.500,961,46.722,772.275,1.173,291.405,1.869,5,-88.510,9,18
ribbon_only_15M,"BB(30,1.5)",none,L+NY,2.000,894,39.933,433.740,1.096,476.720,1.739,5,-202.260,12,18
ribbon_only_15M,"BB(30,1.5)",none,L+NY,3.000,843,34.164,173.510,1.038,671.220,1.640,7,-235.430,16,18
ribbon_only_15M,"BB(30,1.5)",1.2,all,1.500,1684,42.280,-30.200,0.996,642.280,3.270,9,-259.270,15,18
ribbon_only_15M,"BB(30,1.5)",1.2,all,2.000,1603,37.305,52.000,1.007,883.470,3.113,8,-363.460,22,18
ribbon_only_15M,"BB(30,1.5)",1.2,all,3.000,1532,31.984,-276.500,0.965,935.440,2.975,10,-343.340,26,18
ribbon_only_15M,"BB(30,1.5)",1.2,hot8,1.500,815,43.436,66.955,1.018,273.615,1.583,9,-122.415,9,18
ribbon_only_15M,"BB(30,1.5)",1.2,hot8,2.000,786,37.405,25.110,1.006,463.720,1.527,9,-174.490,11,18
ribbon_only_15M,"BB(30,1.5)",1.2,hot8,3.000,767,31.682,-26.810,0.993,528.290,1.490,9,-202.700,12,18
ribbon_only_15M,"BB(30,1.5)",1.2,L+NY,1.500,722,45.706,407.935,1.125,303.495,1.405,7,-59.610,10,18
ribbon_only_15M,"BB(30,1.5)",1.2,L+NY,2.000,688,38.808,199.870,1.058,396.890,1.339,9,-130.820,13,18
ribbon_only_15M,"BB(30,1.5)",1.2,L+NY,3.000,654,32.569,-58.860,0.983,543.430,1.272,9,-244.810,16,18
ribbon_only_15M,"BB(30,1.5)",1.5,all,1.500,1959,42.573,63.050,1.007,659.315,3.804,9,-268.200,15,18
ribbon_only_15M,"BB(30,1.5)",1.5,all,2.000,1844,37.419,64.820,1.007,901.860,3.581,9,-365.790,19,18
ribbon_only_15M,"BB(30,1.5)",1.5,all,3.000,1749,32.533,-168.450,0.982,1027.780,3.396,10,-407.900,19,18
ribbon_only_15M,"BB(30,1.5)",1.5,hot8,1.500,976,43.852,237.075,1.053,336.865,1.896,7,-147.170,12,18
ribbon_only_15M,"BB(30,1.5)",1.5,hot8,2.000,926,37.473,60.160,1.013,551.880,1.799,8,-185.130,13,18
ribbon_only_15M,"BB(30,1.5)",1.5,hot8,3.000,893,32.027,-80.890,0.983,709.780,1.735,8,-240.550,15,18
ribbon_only_15M,"BB(30,1.5)",1.5,L+NY,1.500,878,46.469,651.155,1.163,319.825,1.708,6,-66.315,10,18
ribbon_only_15M,"BB(30,1.5)",1.5,L+NY,2.000,821,39.220,291.480,1.071,456.440,1.597,9,-155.040,12,18
ribbon_only_15M,"BB(30,1.5)",1.5,L+NY,3.000,775,33.290,-18.850,0.995,707.120,1.507,9,-262.150,17,18
ribbon_only_15M,"BB(30,1.5)",2.0,all,1.500,2072,42.954,132.490,1.013,760.365,4.024,8,-343.590,13,18
ribbon_only_15M,"BB(30,1.5)",2.0,all,2.000,1946,38.129,332.330,1.034,980.220,3.779,7,-424.510,16,18
ribbon_only_15M,"BB(30,1.5)",2.0,all,3.000,1841,32.971,-93.840,0.990,1127.070,3.575,8,-516.760,21,18
ribbon_only_15M,"BB(30,1.5)",2.0,hot8,1.500,1042,43.666,239.150,1.049,398.245,2.024,7,-156.780,11,18
ribbon_only_15M,"BB(30,1.5)",2.0,hot8,2.000,986,37.525,113.110,1.022,577.430,1.915,7,-251.440,12,18
ribbon_only_15M,"BB(30,1.5)",2.0,hot8,3.000,945,31.958,-38.650,0.992,624.550,1.836,6,-232.010,16,18
ribbon_only_15M,"BB(30,1.5)",2.0,L+NY,1.500,943,46.448,705.605,1.162,306.285,1.834,6,-107.600,9,18
ribbon_only_15M,"BB(30,1.5)",2.0,L+NY,2.000,878,39.636,382.410,1.086,458.690,1.708,4,-221.350,12,18
ribbon_only_15M,"BB(30,1.5)",2.0,L+NY,3.000,828,33.696,90.650,1.020,655.900,1.610,6,-241.680,16,18
ribbon_only_15M,"BB(30,2.0)",none,all,1.500,1463,43.541,31.960,1.005,637.110,2.842,5,-270.380,15,18
ribbon_only_15M,"BB(30,2.0)",none,all,2.000,1399,38.456,36.050,1.005,814.200,2.717,5,-346.200,15,18
ribbon_only_15M,"BB(30,2.0)",none,all,3.000,1363,33.969,-232.590,0.968,985.080,2.647,6,-431.620,24,18
ribbon_only_15M,"BB(30,2.0)",none,hot8,1.500,699,42.632,65.950,1.020,322.750,1.358,7,-122.865,9,18
ribbon_only_15M,"BB(30,2.0)",none,hot8,2.000,677,36.337,6.890,1.002,410.300,1.315,8,-143.780,10,18
ribbon_only_15M,"BB(30,2.0)",none,hot8,3.000,664,31.476,-159.890,0.956,590.220,1.290,8,-235.630,13,18
ribbon_only_15M,"BB(30,2.0)",none,L+NY,1.500,670,44.776,256.625,1.082,260.030,1.303,6,-100.790,7,18
ribbon_only_15M,"BB(30,2.0)",none,L+NY,2.000,637,37.991,55.980,1.017,327.200,1.239,9,-116.420,16,18
ribbon_only_15M,"BB(30,2.0)",none,L+NY,3.000,621,32.850,-291.960,0.914,650.510,1.208,7,-241.810,16,18
ribbon_only_15M,"BB(30,2.0)",1.2,all,1.500,1131,42.440,-16.370,0.997,558.615,2.197,9,-268.085,13,18
ribbon_only_15M,"BB(30,2.0)",1.2,all,2.000,1090,36.881,-156.490,0.970,754.020,2.117,7,-335.430,19,18
ribbon_only_15M,"BB(30,2.0)",1.2,all,3.000,1065,32.300,-268.070,0.951,893.750,2.069,8,-349.470,32,18
ribbon_only_15M,"BB(30,2.0)",1.2,hot8,1.500,517,40.812,-1.090,1.000,200.800,1.004,9,-79.935,8,18
ribbon_only_15M,"BB(30,2.0)",1.2,hot8,2.000,509,33.595,-186.720,0.926,322.460,0.989,12,-146.700,17,18
ribbon_only_15M,"BB(30,2.0)",1.2,hot8,3.000,502,28.486,-317.890,0.879,555.930,0.975,10,-206.490,17,18
ribbon_only_15M,"BB(30,2.0)",1.2,L+NY,1.500,492,42.276,31.605,1.014,278.960,0.959,11,-99.800,10,18
ribbon_only_15M,"BB(30,2.0)",1.2,L+NY,2.000,472,34.746,-229.560,0.905,439.920,0.920,11,-138.400,12,18
ribbon_only_15M,"BB(30,2.0)",1.2,L+NY,3.000,460,29.565,-515.450,0.796,706.080,0.896,9,-228.190,15,18
ribbon_only_15M,"BB(30,2.0)",1.5,all,1.500,1336,43.189,162.910,1.027,543.580,2.595,8,-245.430,15,18
ribbon_only_15M,"BB(30,2.0)",1.5,all,2.000,1282,37.676,49.120,1.008,701.340,2.490,7,-294.610,15,18
ribbon_only_15M,"BB(30,2.0)",1.5,all,3.000,1253,33.360,-48.610,0.992,862.170,2.434,7,-364.720,23,18
ribbon_only_15M,"BB(30,2.0)",1.5,hot8,1.500,633,42.654,128.455,1.045,241.390,1.230,10,-76.135,9,18
ribbon_only_15M,"BB(30,2.0)",1.5,hot8,2.000,617,35.818,-1.470,1.000,331.450,1.198,11,-103.100,12,18
ribbon_only_15M,"BB(30,2.0)",1.5,hot8,3.000,607,30.807,-141.290,0.956,628.420,1.179,9,-207.050,13,18
ribbon_only_15M,"BB(30,2.0)",1.5,L+NY,1.500,603,44.776,304.825,1.112,178.670,1.173,7,-55.350,7,18
ribbon_only_15M,"BB(30,2.0)",1.5,L+NY,2.000,576,37.153,16.700,1.006,318.560,1.120,11,-78.870,15,18
ribbon_only_15M,"BB(30,2.0)",1.5,L+NY,3.000,561,31.907,-303.090,0.900,671.460,1.091,9,-213.230,15,18
ribbon_only_15M,"BB(30,2.0)",2.0,all,1.500,1439,43.363,116.705,1.017,619.080,2.795,4,-233.260,15,18
ribbon_only_15M,"BB(30,2.0)",2.0,all,2.000,1377,38.199,127.090,1.018,796.170,2.675,3,-316.370,15,18
ribbon_only_15M,"BB(30,2.0)",2.0,all,3.000,1342,33.681,-143.460,0.980,967.050,2.607,5,-450.710,24,18
ribbon_only_15M,"BB(30,2.0)",2.0,hot8,1.500,686,42.274,41.445,1.013,304.720,1.332,9,-85.745,9,18
ribbon_only_15M,"BB(30,2.0)",2.0,hot8,2.000,666,35.886,-10.010,0.997,392.270,1.294,10,-106.660,14,18
ribbon_only_15M,"BB(30,2.0)",2.0,hot8,3.000,653,30.934,-177.810,0.949,613.330,1.268,8,-198.510,14,18
ribbon_only_15M,"BB(30,2.0)",2.0,L+NY,1.500,657,44.444,240.040,1.078,242.000,1.278,7,-119.880,7,18
ribbon_only_15M,"BB(30,2.0)",2.0,L+NY,2.000,626,37.540,47.000,1.015,309.170,1.218,8,-125.660,16,18
ribbon_only_15M,"BB(30,2.0)",2.0,L+NY,3.000,610,32.295,-304.500,0.908,653.190,1.186,8,-235.290,16,18
ribbon_only_30M,"BB(30,1.5)",none,all,1.500,2681,42.335,-335.730,0.975,904.845,5.212,8,-306.590,13,18
ribbon_only_30M,"BB(30,1.5)",none,all,2.000,2506,37.430,-414.140,0.969,1109.800,4.872,8,-410.190,14,18
ribbon_only_30M,"BB(30,1.5)",none,all,3.000,2363,32.205,-980.970,0.925,1480.350,4.594,11,-318.060,15,18
ribbon_only_30M,"BB(30,1.5)",none,hot8,1.500,1371,42.597,-163.150,0.976,621.350,2.666,9,-391.855,10,18
ribbon_only_30M,"BB(30,1.5)",none,hot8,2.000,1299,36.105,-493.610,0.929,836.320,2.526,9,-428.600,10,18
ribbon_only_30M,"BB(30,1.5)",none,hot8,3.000,1227,30.481,-830.600,0.879,1188.260,2.386,12,-448.100,15,18
ribbon_only_30M,"BB(30,1.5)",none,L+NY,1.500,1261,45.678,485.815,1.080,267.990,2.453,8,-130.555,12,18
ribbon_only_30M,"BB(30,1.5)",none,L+NY,2.000,1169,39.179,181.990,1.030,496.510,2.274,7,-190.490,16,18
ribbon_only_30M,"BB(30,1.5)",none,L+NY,3.000,1093,32.937,-389.080,0.937,826.120,2.126,8,-236.360,16,18
ribbon_only_30M,"BB(30,1.5)",1.2,all,1.500,2129,41.052,-555.300,0.944,785.855,4.139,10,-209.100,14,18
ribbon_only_30M,"BB(30,1.5)",1.2,all,2.000,2012,35.984,-570.150,0.944,949.040,3.911,9,-345.910,14,18
ribbon_only_30M,"BB(30,1.5)",1.2,all,3.000,1919,30.120,-1173.710,0.886,1309.950,3.731,13,-287.750,16,18
ribbon_only_30M,"BB(30,1.5)",1.2,hot8,1.500,1039,41.867,-135.970,0.971,412.425,2.020,8,-202.600,8,18
ribbon_only_30M,"BB(30,1.5)",1.2,hot8,2.000,996,35.040,-415.950,0.917,590.660,1.936,12,-244.420,12,18
ribbon_only_30M,"BB(30,1.5)",1.2,hot8,3.000,964,29.046,-747.680,0.855,943.490,1.874,13,-210.050,14,18
ribbon_only_30M,"BB(30,1.5)",1.2,L+NY,1.500,939,44.302,311.930,1.072,247.810,1.827,6,-140.995,13,18
ribbon_only_30M,"BB(30,1.5)",1.2,L+NY,2.000,881,37.230,47.960,1.011,360.570,1.714,7,-133.120,15,18
ribbon_only_30M,"BB(30,1.5)",1.2,L+NY,3.000,837,30.585,-456.210,0.901,681.560,1.629,9,-308.890,19,18
ribbon_only_30M,"BB(30,1.5)",1.5,all,1.500,2483,41.925,-272.150,0.977,645.925,4.827,8,-229.445,13,18
ribbon_only_30M,"BB(30,1.5)",1.5,all,2.000,2324,37.005,-281.810,0.976,918.710,4.518,7,-295.550,13,18
ribbon_only_30M,"BB(30,1.5)",1.5,all,3.000,2201,31.577,-784.290,0.934,1134.290,4.279,11,-295.600,15,18
ribbon_only_30M,"BB(30,1.5)",1.5,hot8,1.500,1253,42.298,-66.160,0.989,464.340,2.436,9,-247.970,9,18
ribbon_only_30M,"BB(30,1.5)",1.5,hot8,2.000,1183,35.672,-379.470,0.938,655.860,2.300,10,-306.620,13,18
ribbon_only_30M,"BB(30,1.5)",1.5,hot8,3.000,1130,30.088,-667.600,0.892,977.440,2.197,10,-338.860,13,18
ribbon_only_30M,"BB(30,1.5)",1.5,L+NY,1.500,1148,45.296,603.255,1.112,231.650,2.233,3,-144.675,11,18
ribbon_only_30M,"BB(30,1.5)",1.5,L+NY,2.000,1060,38.491,264.360,1.049,363.330,2.062,6,-125.570,14,18
ribbon_only_30M,"BB(30,1.5)",1.5,L+NY,3.000,999,32.232,-261.560,0.952,651.170,1.943,10,-221.770,17,18
ribbon_only_30M,"BB(30,1.5)",2.0,all,1.500,2646,42.252,-228.565,0.982,801.535,5.144,8,-319.625,13,18
ribbon_only_30M,"BB(30,1.5)",2.0,all,2.000,2466,37.348,-239.750,0.981,1112.920,4.794,7,-350.840,14,18
ribbon_only_30M,"BB(30,1.5)",2.0,all,3.000,2329,32.160,-776.820,0.939,1256.080,4.528,11,-338.290,15,18
ribbon_only_30M,"BB(30,1.5)",2.0,hot8,1.500,1347,42.316,-196.620,0.970,622.715,2.619,9,-345.165,11,18
ribbon_only_30M,"BB(30,1.5)",2.0,hot8,2.000,1274,35.871,-481.530,0.928,792.370,2.477,10,-391.480,11,18
ribbon_only_30M,"BB(30,1.5)",2.0,hot8,3.000,1209,30.190,-824.140,0.878,1157.520,2.351,11,-410.980,14,18
ribbon_only_30M,"BB(30,1.5)",2.0,L+NY,1.500,1238,45.638,553.485,1.094,231.650,2.408,7,-125.975,12,18
ribbon_only_30M,"BB(30,1.5)",2.0,L+NY,2.000,1144,39.161,279.550,1.047,424.880,2.225,7,-153.370,16,18
ribbon_only_30M,"BB(30,1.5)",2.0,L+NY,3.000,1074,32.868,-284.740,0.952,729.570,2.089,9,-234.290,16,18
ribbon_only_30M,"BB(30,2.0)",none,all,1.500,2040,43.186,-34.010,0.997,689.905,3.966,8,-268.745,12,18
ribbon_only_30M,"BB(30,2.0)",none,all,2.000,1949,37.968,-209.460,0.979,844.490,3.789,6,-354.830,13,18
ribbon_only_30M,"BB(30,2.0)",none,all,3.000,1885,32.891,-825.870,0.921,1307.600,3.665,10,-291.720,22,18
ribbon_only_30M,"BB(30,2.0)",none,hot8,1.500,974,41.786,-203.485,0.957,491.250,1.894,9,-286.135,13,18
ribbon_only_30M,"BB(30,2.0)",none,hot8,2.000,942,35.350,-285.930,0.942,528.920,1.832,9,-269.900,13,18
ribbon_only_30M,"BB(30,2.0)",none,hot8,3.000,911,29.967,-708.790,0.862,981.590,1.771,10,-322.380,15,18
ribbon_only_30M,"BB(30,2.0)",none,L+NY,1.500,967,44.881,322.805,1.069,261.510,1.881,7,-146.720,11,18
ribbon_only_30M,"BB(30,2.0)",none,L+NY,2.000,923,38.245,131.940,1.027,385.080,1.796,5,-157.730,12,18
ribbon_only_30M,"BB(30,2.0)",none,L+NY,3.000,888,31.757,-660.200,0.869,934.490,1.727,11,-236.290,15,18
ribbon_only_30M,"BB(30,2.0)",1.2,all,1.500,1549,41.898,-139.415,0.980,619.425,3.011,5,-240.040,10,18
ribbon_only_30M,"BB(30,2.0)",1.2,all,2.000,1497,36.139,-424.880,0.943,783.800,2.910,8,-311.930,14,18
ribbon_only_30M,"BB(30,2.0)",1.2,all,3.000,1455,30.859,-748.520,0.903,980.760,2.829,9,-238.610,20,18
ribbon_only_30M,"BB(30,2.0)",1.2,hot8,1.500,699,40.200,-75.730,0.976,307.340,1.359,10,-114.860,10,18
ribbon_only_30M,"BB(30,2.0)",1.2,hot8,2.000,683,32.650,-372.640,0.891,488.860,1.328,11,-154.570,13,18
ribbon_only_30M,"BB(30,2.0)",1.2,hot8,3.000,672,27.232,-699.250,0.809,856.580,1.307,12,-174.990,13,18
ribbon_only_30M,"BB(30,2.0)",1.2,L+NY,1.500,690,43.188,221.600,1.071,252.045,1.345,5,-148.335,15,18
ribbon_only_30M,"BB(30,2.0)",1.2,L+NY,2.000,664,35.090,-172.880,0.949,410.470,1.294,7,-176.400,17,18
ribbon_only_30M,"BB(30,2.0)",1.2,L+NY,3.000,642,28.660,-743.640,0.795,897.510,1.251,11,-183.370,19,18
ribbon_only_30M,"BB(30,2.0)",1.5,all,1.500,1854,42.826,59.745,1.007,600.545,3.604,6,-218.040,12,18
ribbon_only_30M,"BB(30,2.0)",1.5,all,2.000,1773,37.338,-166.490,0.981,661.710,3.447,7,-249.120,14,18
ribbon_only_30M,"BB(30,2.0)",1.5,all,3.000,1723,32.385,-562.880,0.939,831.560,3.350,10,-314.090,22,18
ribbon_only_30M,"BB(30,2.0)",1.5,hot8,1.500,869,41.657,-42.855,0.989,353.980,1.690,9,-154.945,12,18
ribbon_only_30M,"BB(30,2.0)",1.5,hot8,2.000,839,34.684,-226.200,0.947,392.520,1.631,12,-154.330,13,18
ribbon_only_30M,"BB(30,2.0)",1.5,hot8,3.000,818,29.462,-564.760,0.874,783.210,1.590,9,-218.910,14,18
ribbon_only_30M,"BB(30,2.0)",1.5,L+NY,1.500,864,44.676,476.860,1.121,223.815,1.681,5,-167.745,10,18
ribbon_only_30M,"BB(30,2.0)",1.5,L+NY,2.000,824,37.500,180.530,1.044,328.830,1.603,8,-167.130,11,18
ribbon_only_30M,"BB(30,2.0)",1.5,L+NY,3.000,797,31.117,-494.430,0.887,739.870,1.550,9,-162.200,15,18
ribbon_only_30M,"BB(30,2.0)",2.0,all,1.500,2003,43.085,57.135,1.006,688.275,3.894,8,-254.120,12,18
ribbon_only_30M,"BB(30,2.0)",2.0,all,2.000,1914,37.827,-95.270,0.990,835.960,3.721,7,-295.480,13,18
ribbon_only_30M,"BB(30,2.0)",2.0,all,3.000,1856,32.759,-695.630,0.931,1122.680,3.608,10,-306.250,22,18
ribbon_only_30M,"BB(30,2.0)",2.0,hot8,1.500,954,41.509,-231.685,0.950,444.285,1.855,9,-239.445,13,18
ribbon_only_30M,"BB(30,2.0)",2.0,hot8,2.000,923,34.995,-302.180,0.937,484.970,1.795,9,-232.780,13,18
ribbon_only_30M,"BB(30,2.0)",2.0,hot8,3.000,896,29.688,-686.580,0.863,931.730,1.742,11,-285.260,15,18
ribbon_only_30M,"BB(30,2.0)",2.0,L+NY,1.500,947,44.773,363.475,1.081,247.135,1.842,7,-161.090,11,18
ribbon_only_30M,"BB(30,2.0)",2.0,L+NY,2.000,904,38.053,184.560,1.040,369.060,1.759,6,-157.630,12,18
